Track Name,Artist,Album,Release Date,Cover Image URL,Genre,Price
YMCA - Original Version 1978,Village People,YMCA,1978-01-01,https://i.scdn.co/image/ab67616d0000b273dbf223dbb6abdffa642eb287,"disco, new wave pop, soft rock",29.99
Surfin' U.S.A. - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),1963-03-25,https://i.scdn.co/image/ab67616d0000b2737cb33b8fab5302942e6a78fb,sunshine pop,29.99
These Boots Are Made For Walkin',Nancy Sinatra,Boots,1966-03,https://i.scdn.co/image/ab67616d0000b273b16991c5257c7d27033dd50a,sunshine pop,29.99
Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),1982,https://i.scdn.co/image/ab67616d0000b27325a4df452a3c42ccc2e9288b,alternative rock,27.99
Dancing Queen,ABBA,Arrival,1976,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0,swedish pop,29.99
Mamma Mia,ABBA,Abba,1975,https://i.scdn.co/image/ab67616d0000b27392d0747a634fcc351c6ac3c2,swedish pop,29.99
Take on Me,a-ha,Hunting High and Low,1985-06-01,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,synthpop,27.99
Maniac,Michael Sembello,Flashdance (Original Soundtrack From The Motion Picture),1983-04-11,https://i.scdn.co/image/ab67616d0000b2737b436d31c5ae44b334736619,hi-nrg,27.99
Hold the Line,TOTO,Toto,1978-10-10,https://i.scdn.co/image/ab67616d0000b273f903e62767a0e22e33b7af83,yacht rock,29.99
Don't Stop Me Now,Queen,Discover More Classic Rock,2020-08-10,https://i.scdn.co/image/ab67616d0000b273075ecd9bfd91eed22378226c,glam rock,24.99
Wake Me Up Before You Go-Go,Wham!,Make It Big,1984-10-23,https://i.scdn.co/image/ab67616d0000b273a2fc41b0dd6ce4f0d16a4c46,soft rock,27.99
Don't Bring Me Down,Electric Light Orchestra,Discovery,1979-05-31,https://i.scdn.co/image/ab67616d0000b273c18cc9d6fcea1478b1257678,glam rock,29.99
Great Balls of Fire,Jerry Lee Lewis,The Essential Jerry Lee Lewis [The Sun Sessions],2013-05-10,https://i.scdn.co/image/ab67616d0000b2737bcd1e3691e6ec2b6f53a5f5,piano rock,24.99
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,1979,https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec,swedish pop,29.99
Feeling Good,Michael Bublé,It's Time,2005-02-08,https://i.scdn.co/image/ab67616d0000b273c6ad2b2b62b581a23a7c1759,jazz pop,24.99
Build Me Up Buttercup - Mono,The Foundations,Baby Now That I've Found You,1967-01-01,https://i.scdn.co/image/ab67616d0000b273663fe218f7d98306c533af10,bubblegum pop,29.99
